CREATE TABLE livros_alugados (
	usuario_id int NOT NULL,
	livro_id int NOT NULL,
insert into livros_alugados (usuario_id, livro_id) values (44, 37);
insert into livros_alugados (usuario_id, livro_id) values (42, 20);
insert into livros_alugados (usuario_id, livro_id) values (28, 85);
insert into livros_alugados (usuario_id, livro_id) values (37, 50);
insert into livros_alugados (usuario_id, livro_id) values (65, 51);
insert into livros_alugados (usuario_id, livro_id) values (46, 89);
insert into livros_alugados (usuario_id, livro_id) values (80, 64);
insert into livros_alugados (usuario_id, livro_id) values (11, 2);
insert into livros_alugados (usuario_id, livro_id) values (67, 24);
insert into livros_alugados (usuario_id, livro_id) values (84, 39);
insert into livros_alugados (usuario_id, livro_id) values (95, 71);
insert into livros_alugados (usuario_id, livro_id) values (30, 71);
insert into livros_alugados (usuario_id, livro_id) values (73, 12);
insert into livros_alugados (usuario_id, livro_id) values (41, 43);
insert into livros_alugados (usuario_id, livro_id) values (45, 87);
insert into livros_alugados (usuario_id, livro_id) values (57, 54);
insert into livros_alugados (usuario_id, livro_id) values (34, 94);
insert into livros_alugados (usuario_id, livro_id) values (17, 9);
insert into livros_alugados (usuario_id, livro_id) values (50, 58);
insert into livros_alugados (usuario_id, livro_id) values (66, 48);
insert into livros_alugados (usuario_id, livro_id) values (42, 1);
insert into livros_alugados (usuario_id, livro_id) values (38, 67);
insert into livros_alugados (usuario_id, livro_id) values (18, 7);
insert into livros_alugados (usuario_id, livro_id) values (67, 94);
insert into livros_alugados (usuario_id, livro_id) values (36, 56);
insert into livros_alugados (usuario_id, livro_id) values (6, 71);
insert into livros_alugados (usuario_id, livro_id) values (91, 66);
insert into livros_alugados (usuario_id, livro_id) values (42, 50);
insert into livros_alugados (usuario_id, livro_id) values (10, 47);
insert into livros_alugados (usuario_id, livro_id) values (62, 10);
insert into livros_alugados (usuario_id, livro_id) values (53, 28);
insert into livros_alugados (usuario_id, livro_id) values (69, 32);
insert into livros_alugados (usuario_id, livro_id) values (32, 22);
insert into livros_alugados (usuario_id, livro_id) values (61, 66);
insert into livros_alugados (usuario_id, livro_id) values (73, 77);
insert into livros_alugados (usuario_id, livro_id) values (14, 9);
insert into livros_alugados (usuario_id, livro_id) values (27, 68);
insert into livros_alugados (usuario_id, livro_id) values (10, 7);
insert into livros_alugados (usuario_id, livro_id) values (86, 43);
insert into livros_alugados (usuario_id, livro_id) values (76, 84);
insert into livros_alugados (usuario_id, livro_id) values (82, 86);
insert into livros_alugados (usuario_id, livro_id) values (16, 51);
insert into livros_alugados (usuario_id, livro_id) values (18, 10);
insert into livros_alugados (usuario_id, livro_id) values (7, 71);
insert into livros_alugados (usuario_id, livro_id) values (76, 3);
insert into livros_alugados (usuario_id, livro_id) values (86, 58);
insert into livros_alugados (usuario_id, livro_id) values (10, 87);
insert into livros_alugados (usuario_id, livro_id) values (66, 49);
insert into livros_alugados (usuario_id, livro_id) values (32, 21);
insert into livros_alugados (usuario_id, livro_id) values (88, 92);
insert into livros_alugados (usuario_id, livro_id) values (77, 10);
insert into livros_alugados (usuario_id, livro_id) values (59, 16);
insert into livros_alugados (usuario_id, livro_id) values (32, 70);
insert into livros_alugados (usuario_id, livro_id) values (1, 96);
insert into livros_alugados (usuario_id, livro_id) values (29, 45);
insert into livros_alugados (usuario_id, livro_id) values (40, 9);
insert into livros_alugados (usuario_id, livro_id) values (54, 34);
insert into livros_alugados (usuario_id, livro_id) values (21, 8);
insert into livros_alugados (usuario_id, livro_id) values (71, 89);
insert into livros_alugados (usuario_id, livro_id) values (75, 49);
insert into livros_alugados (usuario_id, livro_id) values (20, 25);
insert into livros_alugados (usuario_id, livro_id) values (13, 15);
insert into livros_alugados (usuario_id, livro_id) values (75, 70);
insert into livros_alugados (usuario_id, livro_id) values (47, 78);
insert into livros_alugados (usuario_id, livro_id) values (63, 59);
insert into livros_alugados (usuario_id, livro_id) values (73, 28);
insert into livros_alugados (usuario_id, livro_id) values (36, 31);
insert into livros_alugados (usuario_id, livro_id) values (44, 2);
insert into livros_alugados (usuario_id, livro_id) values (94, 65);
insert into livros_alugados (usuario_id, livro_id) values (17, 87);
insert into livros_alugados (usuario_id, livro_id) values (81, 28);
insert into livros_alugados (usuario_id, livro_id) values (44, 61);
insert into livros_alugados (usuario_id, livro_id) values (48, 87);
insert into livros_alugados (usuario_id, livro_id) values (39, 49);
insert into livros_alugados (usuario_id, livro_id) values (77, 69);
insert into livros_alugados (usuario_id, livro_id) values (16, 40);
insert into livros_alugados (usuario_id, livro_id) values (99, 59);
insert into livros_alugados (usuario_id, livro_id) values (19, 7);
insert into livros_alugados (usuario_id, livro_id) values (99, 29);
insert into livros_alugados (usuario_id, livro_id) values (28, 38);
insert into livros_alugados (usuario_id, livro_id) values (41, 28);
insert into livros_alugados (usuario_id, livro_id) values (55, 1);
insert into livros_alugados (usuario_id, livro_id) values (61, 86);
insert into livros_alugados (usuario_id, livro_id) values (50, 94);
insert into livros_alugados (usuario_id, livro_id) values (21, 44);
insert into livros_alugados (usuario_id, livro_id) values (46, 64);
insert into livros_alugados (usuario_id, livro_id) values (52, 23);
insert into livros_alugados (usuario_id, livro_id) values (60, 79);
insert into livros_alugados (usuario_id, livro_id) values (70, 66);
insert into livros_alugados (usuario_id, livro_id) values (31, 56);
insert into livros_alugados (usuario_id, livro_id) values (27, 56);
insert into livros_alugados (usuario_id, livro_id) values (57, 73);
insert into livros_alugados (usuario_id, livro_id) values (70, 79);
insert into livros_alugados (usuario_id, livro_id) values (43, 1);
insert into livros_alugados (usuario_id, livro_id) values (34, 33);
insert into livros_alugados (usuario_id, livro_id) values (2, 49);
insert into livros_alugados (usuario_id, livro_id) values (61, 54);
insert into livros_alugados (usuario_id, livro_id) values (2, 49);
insert into livros_alugados (usuario_id, livro_id) values (10, 64);
insert into livros_alugados (usuario_id, livro_id) values (40, 81);
insert into livros_alugados (usuario_id, livro_id) values (36, 50);
insert into livros_alugados (usuario_id, livro_id) values (3, 47);
insert into livros_alugados (usuario_id, livro_id) values (70, 64);
insert into livros_alugados (usuario_id, livro_id) values (11, 10);
insert into livros_alugados (usuario_id, livro_id) values (80, 72);
insert into livros_alugados (usuario_id, livro_id) values (48, 73);
insert into livros_alugados (usuario_id, livro_id) values (75, 83);
insert into livros_alugados (usuario_id, livro_id) values (81, 60);
insert into livros_alugados (usuario_id, livro_id) values (15, 24);
insert into livros_alugados (usuario_id, livro_id) values (95, 43);
insert into livros_alugados (usuario_id, livro_id) values (17, 66);
insert into livros_alugados (usuario_id, livro_id) values (54, 87);
insert into livros_alugados (usuario_id, livro_id) values (57, 85);
insert into livros_alugados (usuario_id, livro_id) values (91, 32);
insert into livros_alugados (usuario_id, livro_id) values (83, 2);
insert into livros_alugados (usuario_id, livro_id) values (51, 96);
insert into livros_alugados (usuario_id, livro_id) values (17, 43);
insert into livros_alugados (usuario_id, livro_id) values (74, 2);
insert into livros_alugados (usuario_id, livro_id) values (89, 63);
insert into livros_alugados (usuario_id, livro_id) values (72, 86);
insert into livros_alugados (usuario_id, livro_id) values (30, 49);
insert into livros_alugados (usuario_id, livro_id) values (32, 62);
insert into livros_alugados (usuario_id, livro_id) values (98, 74);
insert into livros_alugados (usuario_id, livro_id) values (13, 62);
insert into livros_alugados (usuario_id, livro_id) values (36, 29);
insert into livros_alugados (usuario_id, livro_id) values (84, 46);
insert into livros_alugados (usuario_id, livro_id) values (36, 5);
insert into livros_alugados (usuario_id, livro_id) values (70, 27);
insert into livros_alugados (usuario_id, livro_id) values (22, 53);
insert into livros_alugados (usuario_id, livro_id) values (14, 86);
insert into livros_alugados (usuario_id, livro_id) values (52, 82);
insert into livros_alugados (usuario_id, livro_id) values (3, 51);
insert into livros_alugados (usuario_id, livro_id) values (28, 34);
insert into livros_alugados (usuario_id, livro_id) values (93, 57);
insert into livros_alugados (usuario_id, livro_id) values (40, 53);
insert into livros_alugados (usuario_id, livro_id) values (29, 31);
insert into livros_alugados (usuario_id, livro_id) values (16, 93);
insert into livros_alugados (usuario_id, livro_id) values (48, 90);
insert into livros_alugados (usuario_id, livro_id) values (25, 22);
insert into livros_alugados (usuario_id, livro_id) values (99, 70);
insert into livros_alugados (usuario_id, livro_id) values (69, 30);
insert into livros_alugados (usuario_id, livro_id) values (66, 32);
insert into livros_alugados (usuario_id, livro_id) values (100, 48);
insert into livros_alugados (usuario_id, livro_id) values (84, 5);
insert into livros_alugados (usuario_id, livro_id) values (42, 45);
insert into livros_alugados (usuario_id, livro_id) values (51, 92);
insert into livros_alugados (usuario_id, livro_id) values (25, 74);
insert into livros_alugados (usuario_id, livro_id) values (81, 7);
insert into livros_alugados (usuario_id, livro_id) values (52, 78);
insert into livros_alugados (usuario_id, livro_id) values (6, 24);
insert into livros_alugados (usuario_id, livro_id) values (53, 5);
insert into livros_alugados (usuario_id, livro_id) values (49, 12);
insert into livros_alugados (usuario_id, livro_id) values (89, 86);
insert into livros_alugados (usuario_id, livro_id) values (25, 14);
insert into livros_alugados (usuario_id, livro_id) values (90, 56);
insert into livros_alugados (usuario_id, livro_id) values (69, 27);
insert into livros_alugados (usuario_id, livro_id) values (84, 40);
insert into livros_alugados (usuario_id, livro_id) values (17, 28);
insert into livros_alugados (usuario_id, livro_id) values (54, 73);
insert into livros_alugados (usuario_id, livro_id) values (8, 41);
insert into livros_alugados (usuario_id, livro_id) values (23, 88);
insert into livros_alugados (usuario_id, livro_id) values (63, 47);
insert into livros_alugados (usuario_id, livro_id) values (21, 74);
insert into livros_alugados (usuario_id, livro_id) values (51, 27);
insert into livros_alugados (usuario_id, livro_id) values (82, 67);
insert into livros_alugados (usuario_id, livro_id) values (96, 62);
insert into livros_alugados (usuario_id, livro_id) values (44, 78);
insert into livros_alugados (usuario_id, livro_id) values (91, 78);
insert into livros_alugados (usuario_id, livro_id) values (45, 45);
insert into livros_alugados (usuario_id, livro_id) values (33, 94);
insert into livros_alugados (usuario_id, livro_id) values (65, 70);
insert into livros_alugados (usuario_id, livro_id) values (64, 73);
insert into livros_alugados (usuario_id, livro_id) values (44, 89);
insert into livros_alugados (usuario_id, livro_id) values (83, 74);
insert into livros_alugados (usuario_id, livro_id) values (32, 83);
insert into livros_alugados (usuario_id, livro_id) values (72, 7);
insert into livros_alugados (usuario_id, livro_id) values (39, 9);
insert into livros_alugados (usuario_id, livro_id) values (86, 90);
insert into livros_alugados (usuario_id, livro_id) values (10, 54);
insert into livros_alugados (usuario_id, livro_id) values (38, 52);
insert into livros_alugados (usuario_id, livro_id) values (21, 76);
insert into livros_alugados (usuario_id, livro_id) values (7, 73);
insert into livros_alugados (usuario_id, livro_id) values (15, 44);
insert into livros_alugados (usuario_id, livro_id) values (90, 15);
insert into livros_alugados (usuario_id, livro_id) values (30, 4);
insert into livros_alugados (usuario_id, livro_id) values (49, 4);
insert into livros_alugados (usuario_id, livro_id) values (15, 95);
insert into livros_alugados (usuario_id, livro_id) values (17, 13);
insert into livros_alugados (usuario_id, livro_id) values (61, 8);
insert into livros_alugados (usuario_id, livro_id) values (77, 52);
insert into livros_alugados (usuario_id, livro_id) values (15, 4);
insert into livros_alugados (usuario_id, livro_id) values (92, 71);
insert into livros_alugados (usuario_id, livro_id) values (21, 57);
insert into livros_alugados (usuario_id, livro_id) values (50, 41);
insert into livros_alugados (usuario_id, livro_id) values (2, 6);
insert into livros_alugados (usuario_id, livro_id) values (58, 94);
insert into livros_alugados (usuario_id, livro_id) values (43, 41);
insert into livros_alugados (usuario_id, livro_id) values (1, 50);
insert into livros_alugados (usuario_id, livro_id) values (78, 43);
insert into livros_alugados (usuario_id, livro_id) values (46, 54);
insert into livros_alugados (usuario_id, livro_id) values (11, 63);
insert into livros_alugados (usuario_id, livro_id) values (85, 62);
insert into livros_alugados (usuario_id, livro_id) values (48, 13);
insert into livros_alugados (usuario_id, livro_id) values (100, 3);
insert into livros_alugados (usuario_id, livro_id) values (7, 44);
insert into livros_alugados (usuario_id, livro_id) values (62, 22);
insert into livros_alugados (usuario_id, livro_id) values (76, 79);
insert into livros_alugados (usuario_id, livro_id) values (78, 78);
insert into livros_alugados (usuario_id, livro_id) values (94, 56);
insert into livros_alugados (usuario_id, livro_id) values (55, 91);
insert into livros_alugados (usuario_id, livro_id) values (17, 28);
insert into livros_alugados (usuario_id, livro_id) values (54, 32);
insert into livros_alugados (usuario_id, livro_id) values (28, 37);
insert into livros_alugados (usuario_id, livro_id) values (13, 89);
insert into livros_alugados (usuario_id, livro_id) values (35, 60);
insert into livros_alugados (usuario_id, livro_id) values (89, 93);
insert into livros_alugados (usuario_id, livro_id) values (47, 41);
insert into livros_alugados (usuario_id, livro_id) values (84, 57);
insert into livros_alugados (usuario_id, livro_id) values (60, 25);
insert into livros_alugados (usuario_id, livro_id) values (88, 66);
insert into livros_alugados (usuario_id, livro_id) values (91, 89);
insert into livros_alugados (usuario_id, livro_id) values (28, 78);
insert into livros_alugados (usuario_id, livro_id) values (31, 51);
insert into livros_alugados (usuario_id, livro_id) values (61, 79);
insert into livros_alugados (usuario_id, livro_id) values (64, 29);
insert into livros_alugados (usuario_id, livro_id) values (89, 47);
insert into livros_alugados (usuario_id, livro_id) values (94, 61);
insert into livros_alugados (usuario_id, livro_id) values (86, 58);
insert into livros_alugados (usuario_id, livro_id) values (99, 43);
insert into livros_alugados (usuario_id, livro_id) values (42, 66);
insert into livros_alugados (usuario_id, livro_id) values (65, 27);
insert into livros_alugados (usuario_id, livro_id) values (51, 93);
insert into livros_alugados (usuario_id, livro_id) values (34, 69);
insert into livros_alugados (usuario_id, livro_id) values (36, 24);
insert into livros_alugados (usuario_id, livro_id) values (17, 84);
insert into livros_alugados (usuario_id, livro_id) values (9, 51);
insert into livros_alugados (usuario_id, livro_id) values (67, 58);
insert into livros_alugados (usuario_id, livro_id) values (41, 94);
insert into livros_alugados (usuario_id, livro_id) values (69, 63);
insert into livros_alugados (usuario_id, livro_id) values (72, 57);
insert into livros_alugados (usuario_id, livro_id) values (21, 66);
insert into livros_alugados (usuario_id, livro_id) values (55, 50);
insert into livros_alugados (usuario_id, livro_id) values (52, 44);
insert into livros_alugados (usuario_id, livro_id) values (42, 43);
insert into livros_alugados (usuario_id, livro_id) values (83, 95);
insert into livros_alugados (usuario_id, livro_id) values (69, 45);
insert into livros_alugados (usuario_id, livro_id) values (28, 69);
insert into livros_alugados (usuario_id, livro_id) values (2, 49);
insert into livros_alugados (usuario_id, livro_id) values (21, 92);
insert into livros_alugados (usuario_id, livro_id) values (84, 90);
insert into livros_alugados (usuario_id, livro_id) values (81, 10);
insert into livros_alugados (usuario_id, livro_id) values (90, 72);
insert into livros_alugados (usuario_id, livro_id) values (3, 70);
insert into livros_alugados (usuario_id, livro_id) values (13, 95);
insert into livros_alugados (usuario_id, livro_id) values (11, 56);
insert into livros_alugados (usuario_id, livro_id) values (93, 50);
insert into livros_alugados (usuario_id, livro_id) values (63, 66);
insert into livros_alugados (usuario_id, livro_id) values (88, 66);
insert into livros_alugados (usuario_id, livro_id) values (15, 40);
insert into livros_alugados (usuario_id, livro_id) values (62, 51);
insert into livros_alugados (usuario_id, livro_id) values (16, 68);
insert into livros_alugados (usuario_id, livro_id) values (100, 18);
insert into livros_alugados (usuario_id, livro_id) values (98, 61);
insert into livros_alugados (usuario_id, livro_id) values (81, 83);
insert into livros_alugados (usuario_id, livro_id) values (20, 19);
insert into livros_alugados (usuario_id, livro_id) values (61, 2);
insert into livros_alugados (usuario_id, livro_id) values (80, 45);
insert into livros_alugados (usuario_id, livro_id) values (65, 11);
insert into livros_alugados (usuario_id, livro_id) values (7, 6);
insert into livros_alugados (usuario_id, livro_id) values (89, 88);
insert into livros_alugados (usuario_id, livro_id) values (89, 10);
insert into livros_alugados (usuario_id, livro_id) values (47, 50);
insert into livros_alugados (usuario_id, livro_id) values (39, 85);
insert into livros_alugados (usuario_id, livro_id) values (60, 56);
insert into livros_alugados (usuario_id, livro_id) values (45, 80);
insert into livros_alugados (usuario_id, livro_id) values (1, 67);
insert into livros_alugados (usuario_id, livro_id) values (55, 12);
insert into livros_alugados (usuario_id, livro_id) values (18, 43);
insert into livros_alugados (usuario_id, livro_id) values (60, 44);
insert into livros_alugados (usuario_id, livro_id) values (71, 27);
insert into livros_alugados (usuario_id, livro_id) values (44, 84);
insert into livros_alugados (usuario_id, livro_id) values (91, 36);
insert into livros_alugados (usuario_id, livro_id) values (99, 18);
insert into livros_alugados (usuario_id, livro_id) values (3, 29);
insert into livros_alugados (usuario_id, livro_id) values (32, 79);
insert into livros_alugados (usuario_id, livro_id) values (84, 96);
insert into livros_alugados (usuario_id, livro_id) values (64, 76);
insert into livros_alugados (usuario_id, livro_id) values (93, 27);
insert into livros_alugados (usuario_id, livro_id) values (50, 72);
insert into livros_alugados (usuario_id, livro_id) values (82, 46);
insert into livros_alugados (usuario_id, livro_id) values (75, 2);
insert into livros_alugados (usuario_id, livro_id) values (84, 34);
insert into livros_alugados (usuario_id, livro_id) values (37, 73);
insert into livros_alugados (usuario_id, livro_id) values (69, 58);
insert into livros_alugados (usuario_id, livro_id) values (58, 74);
insert into livros_alugados (usuario_id, livro_id) values (76, 56);
insert into livros_alugados (usuario_id, livro_id) values (37, 10);
insert into livros_alugados (usuario_id, livro_id) values (35, 21);
insert into livros_alugados (usuario_id, livro_id) values (84, 68);
insert into livros_alugados (usuario_id, livro_id) values (73, 4);
insert into livros_alugados (usuario_id, livro_id) values (27, 65);
insert into livros_alugados (usuario_id, livro_id) values (88, 31);
insert into livros_alugados (usuario_id, livro_id) values (15, 85);
insert into livros_alugados (usuario_id, livro_id) values (12, 95);
insert into livros_alugados (usuario_id, livro_id) values (99, 4);
insert into livros_alugados (usuario_id, livro_id) values (47, 78);
insert into livros_alugados (usuario_id, livro_id) values (71, 79);
insert into livros_alugados (usuario_id, livro_id) values (3, 28);
insert into livros_alugados (usuario_id, livro_id) values (6, 75);
insert into livros_alugados (usuario_id, livro_id) values (52, 13);
insert into livros_alugados (usuario_id, livro_id) values (4, 96);
insert into livros_alugados (usuario_id, livro_id) values (16, 11);
insert into livros_alugados (usuario_id, livro_id) values (36, 27);
insert into livros_alugados (usuario_id, livro_id) values (8, 30);
insert into livros_alugados (usuario_id, livro_id) values (99, 78);
insert into livros_alugados (usuario_id, livro_id) values (28, 24);
insert into livros_alugados (usuario_id, livro_id) values (31, 3);
insert into livros_alugados (usuario_id, livro_id) values (80, 29);
insert into livros_alugados (usuario_id, livro_id) values (38, 78);
insert into livros_alugados (usuario_id, livro_id) values (22, 57);
insert into livros_alugados (usuario_id, livro_id) values (20, 22);
insert into livros_alugados (usuario_id, livro_id) values (11, 69);
insert into livros_alugados (usuario_id, livro_id) values (84, 42);
insert into livros_alugados (usuario_id, livro_id) values (93, 60);
insert into livros_alugados (usuario_id, livro_id) values (38, 55);
